		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110100100   18   23   24   29   27   22   35   32 10.461453 0.234119 SUCCESS 108
110101000   28   23   19   20   21   26   18   23  5.102064 0.746614 SUCCESS 109
110101010   28   25   24   19   21   24   27   27  2.875826 0.941907 SUCCESS 110
110101100   35   20   24   34   22   20   24   24 10.570680 0.227231 SUCCESS 111
110110000   26   24   26   20   34   22   17   17  9.831248 0.277070 SUCCESS 112
110110010   20   27   21   18   26   21   23   21  4.500325 0.809401 SUCCESS 113
110110100   17   23   23   30   29   23   20   26  5.722340 0.678302 SUCCESS 114
110111000   30   29   19   25   31   22   26   18  7.409726 0.493139 SUCCESS 115
110111010   20   25   27   22   22   28   26   27  2.554104 0.959160 SUCCESS 116
110111100   32   24   18   28   26   24   21   25  5.358913 0.718616 SUCCESS 117
111000000   24   21   27   26   22   28   26   30  3.122745 0.926420 SUCCESS 118
111000010   26   30   25   27   28   31   34   19  9.276509 0.319510 SUCCESS 119
111000100   33   19   18   36   22   26   25   32 14.621996 0.066926 SUCCESS 120
111000110   23   35   20   26   24   26   35   28 11.199560 0.190646 SUCCESS 121
111001000   26   23   12   25   26   23   30   21  8.729714 0.365608 SUCCESS 122
111001010   25   20   26   21   26   33   18   21  6.900002 0.547459 SUCCESS 123
111001100   22   25   31   20   21   16   28   19  8.186890 0.415430 SUCCESS 124
111010000   13   14   23   25   18   30   25   22 13.506560 0.095568 SUCCESS 125
111010010   25   19   18   30   24   31   33   34 13.207345 0.104912 SUCCESS 126
111010100   29   29   29   24   24   22   20   27  4.054812 0.852145 SUCCESS 127
111010110   23   20   30   24   18   20   35   26  9.663105 0.289472 SUCCESS 128
111011000   29   25   22   20   28   26   22   22  3.121421 0.926508 SUCCESS 129
111011010   21   27   11   30   29   32   24   29 13.960016 0.082814 SUCCESS 130
111011100   26   22   24   26   25   18   30   25  3.562299 0.894301 SUCCESS 131
111100000   25   29   27   30   27   32   21   26  5.861355 0.662759 SUCCESS 132
111100010   21   14   23   31   27   21   20   28  9.144775 0.330231 SUCCESS 133
111100100   27   27   14   18   24   16   27   20 10.990375 0.202245 SUCCESS 134
111100110   31   22   29   22   34   18   26   23  9.062690 0.337035 SUCCESS 135
111101000   23   21   27   27   23   19   22   27  2.993659 0.934755 SUCCESS 136
111101010   25   25   26   25   19   22   23   25  1.731263 0.988172 SUCCESS 137
111101100   28   26   22   22   22   27   18   21  3.899909 0.866039 SUCCESS 138
111101110   26   21   18   22   28   19   28   12 11.422648 0.178882 SUCCESS 139
111110000   26   29   26   31   29   27   17   23  6.546504 0.586254 SUCCESS 140
111110010   23   18   21   18   22   21   29   14 10.252267 0.247765 SUCCESS 141
111110100   28   23   19   29   22   26   18   32  7.299175 0.504725 SUCCESS 142
111110110   27   35   19   19   26   24   23   24  7.722843 0.461001 SUCCESS 143
111111000   21   25   25   28   26   25   17   26  3.621216 0.889581 SUCCESS 144
111111010   17   22   19   26   20   33   21   27  8.636375 0.373893 SUCCESS 145
111111100   20   16   20   27   18   15   21   19 12.115078 0.146143 SUCCESS 146
111111110   21   14   15   18   13   14   16   22 23.864558 0.002415 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
